Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
"Hẻm 47/, Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",56.25,4.5,5,,,3,4,3,Have certificate,Basic,4.29
"30/2, Đường Số 47, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",65,,,,,2,3,3,,,4
"Đường Lê Văn Quới, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",80,8,8,Nam,Nam,5,5,6,,,6.5
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",60,4,,Tây - Nam,Đông - Bắc,,,,Sale contract,,7
"Phố Yên Duyên, Phường Yên Sở, Hoàng Mai, Hà Nội",33,3,2,Tây - Bắc,Tây - Bắc,5,3,4,Have certificate,Full,4.48
"Đường Nguyễn Đình Chính, Phường 11, Phú Nhuận, Hồ Chí Minh",38,4.2,6,Đông - Bắc,Đông - Bắc,4,3,4,Have certificate,Full,6.78
"Dự án Phú Cường, Rạch Giá, Kiên Giang",150,5,38,Tây,Tây,,,,Sale contract,,4.9
"Dự án Ny'ah Bình Tây, Đường Nguyễn Văn Luông, Phường 11, Quận 6, Hồ Chí Minh",42,,,,,3,2,,Have certificate,,6.5
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",60,,,,,,,,,,7
"Phố Khâm Thiên, Phường Thổ Quan, Đống Đa, Hà Nội",30,3.4,3,,,6,4,5,,Full,5.65
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",78,6,13,Tây - Bắc,,5,,,,,9.8
"Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh",43.5,,2,Tây - Nam,Tây - Nam,4,3,4,Have certificate,Basic,6.2
"189/16, Đường Lý Thái Tổ, Phường 9, Quận 10, Hồ Chí Minh",23.9,3.5,,,,2,2,2,,,4.2
"Đường Lê Trọng Tấn, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",78.7,4,,Đông - Nam,,,,,Have certificate,,5.5
"Đường 17, Phường Tân Hiệp, Tân Uyên, Bình Dương",67.5,,,,,,,,,,2.18
"Đường Trương Vĩnh Ký, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",72,4,5,,,2,4,4,Have certificate,Full,6.7
"Đường Đê Mới, Xã Phụng Châu, Chương Mỹ, Hà Nội",60,,3,,,4,4,3,Have certificate,Basic,2.65
"Dự án PiCity High Park, Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",200,,,,,2,3,3,,,10
"Phố Lò Đúc, Phường Đống Mác, Hai Bà Trưng, Hà Nội",36,4,3,,,5,4,4,Have certificate,Basic,6
"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh",100,,20,Nam,Nam,3,4,4,Have certificate,Full,8.49
"Dự án Eco City Premia, Phường Tân An, Buôn Ma Thuột, Đắk Lắk.",120,6,30,,,4,,,Have certificate,,5.85
"Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội",78,,,,,3,3,3,Have certificate,Full,5.8
"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",132,4,8,,,2,3,2,,,7
"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",102,,3,,,1,2,1,Have certificate,,6.8
"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",101,7.1,2.5,,,3,4,3,Have certificate,,6.6
"Đường Số 8, Phường 11, Gò Vấp, Hồ Chí Minh",81,8,8,Bắc,Bắc,1,1,1,,,5.8
"Đường Ỷ La, Phường Dương Nội, Hà Đông, Hà Nội",35,,,,,5,4,3,Have certificate,,3.5
"Dự án Mega Ruby, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",75,5,24,,,3,3,3,Have certificate,Full,7.7
"Đường Tân Kỳ Tân Quý, Phường Tân Quý, Tân Phú, Hồ Chí Minh",62,,,,,4,6,4,Have certificate,,6.9
"Dự án Lavilla Green City, Đường Hùng Vương, Phường 6, Tân An, Long An",100,15,20,,,3,,,Have certificate,,3.9
"Ngõ 387, Phố Vũ Tông Phan, Phường Khương Đình, Thanh Xuân, Hà Nội",42,3.3,5,Nam,,4,5,4,Have certificate,Full,8.8
"Đường Nguyễn Văn Khối, Phường 9, Gò Vấp, Hồ Chí Minh",143,5,6,,,4,4,4,Have certificate,Full,9.3
"Dự án Centa Riverside, Đường Hữu Nghị, Phường Phù Chẩn, Từ Sơn, Bắc Ninh",180,9,40,Nam,Nam,3,5,4,Have certificate,Basic,9.7
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",75,5,17,,,5,,,Have certificate,Basic,8.6
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",78,6,,,,5,,,Have certificate,Basic,9.4
"Phường Thạch Bàn, Long Biên, Hà Nội",33,4.5,2.5,Nam,Nam,5,3,4,Have certificate,Full,4.15
"Đường Tả Thanh Oai, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",31,,,,,5,,,Have certificate,,2.9
"Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",83.6,,,Tây,,4,4,5,Have certificate,,8.6
"Số 7H/15/351, Đường Âu Cơ, Phường Nhật Tân, Tây Hồ, Hà Nội",56,4.8,3,Đông - Nam,Đông - Nam,6,4,4,Have certificate,,5.3
"Đường CSEDP, Phường Đông Vệ, Thanh Hóa, Thanh Hóa.",90,5,17.5,Đông - Bắc,Đông - Bắc,4,4,5,Have certificate,,3.85
"Ngõ 18, Đường Ngô Quyền, Phường Quang Trung, Hà Đông, Hà Nội",55,4,5,,,5,6,5,Have certificate,Full,8.3
"Đường 5, Phường Bình Trưng Tây, Thủ Đức, Hồ Chí Minh",50,9,,Nam,Nam,2,2,2,Have certificate,,3.9
"Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",65,,8,,,4,4,5,,,4.2
"Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",60,,,,,,,,Have certificate,,4.3
"Dự án KVG The Capella Nha Trang, Đường Võ Nguyên Giáp, Xã Vĩnh Thái, Nha Trang, Khánh Hòa",100,5,15,Đông - Nam,Đông - Nam,3,3,4,Sale contract,,3.95
"Dự án Thanh Hà Mường Thanh, Phường Kiến Hưng, Hà Đông, Hà Nội",33,,,,,,1,1,Sale contract,,1.4
"Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội",60,,2,,,3,3,3,Have certificate,,4.7
"Đường Cổ Linh, Phường Thạch Bàn, Long Biên, Hà Nội",70,,,,,5,5,4,,,6.9
"Hẻm 183, Đường 3/2, Phường 11, Quận 10, Hồ Chí Minh",40,,5,Tây,,4,5,4,Have certificate,Full,9.1
"Số 3/83 ngõ 61, Đường Phố Trạm, Phường Long Biên, Long Biên, Hà Nội",40,,,Đông - Nam,,5,6,3,,,6.25
"Đường An Dương Vương, Phường 10, Quận 6, Hồ Chí Minh",66,4,12,,,4,5,3,Have certificate,,8.95
"89, Đường Lạc Long Quân, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",35,,,,,4,4,3,Have certificate,Full,6.25
"Đường Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",74,,,,,2,4,3,Have certificate,Full,6.83
"Hẻm 701, Phố Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",45,,,,,2,2,2,Have certificate,,4.4
"Phường Thạch Bàn, Long Biên, Hà Nội",70,,,,,,,,Have certificate,Basic,6.8
"Dự án The Origami, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",45,,24,Đông - Nam,,,,,Sale contract,Basic,7
"Dự án The Standard, Đường Tân Phước Khánh 10, Phường Tân Phước Khánh, Tân Uyên, Bình Dương",85,,18,Tây - Bắc,,2,4,4,Have certificate,,5.9
"Đường Phố Trạm, Phường Thạch Bàn, Long Biên, Hà Nội",48,,2.5,,,4,5,,Have certificate,Basic,6.4
"Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",56.1,4.2,,,,4,4,3,Have certificate,,6.3
"Đường Trương Định, Phường Tương Mai, Hoàng Mai, Hà Nội",40,,,,,5,,,,,7.48
"Xã Đông La, Hoài Đức, Hà Nội",36.5,3.6,4,,,6,3,4,Have certificate,Basic,4.1
"Phường Thạch Bàn, Long Biên, Hà Nội",36,,,,,4,,,Have certificate,,7.49
"Đường Trương Phước Phan, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",64,4,6,Tây,Tây,5,4,5,Have certificate,Basic,6.7
"Số 43A ngõ 88, Phố Kim Hoa, Phường Phương Liên, Đống Đa, Hà Nội",12,3,3,Đông - Bắc,Đông - Bắc,5,3,4,,,1.8
"Dự án Waterpoint, Đường Tỉnh lộ 824, Xã An Thạnh, Bến Lức, Long An",90,,,,,,3,2,Have certificate,,3.2
"Phố Cầu Cốc, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",53,4.3,22,Đông,Đông,5,6,5,Have certificate,Basic,6.39
"168/86// Đường Bình Trị Đông, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",96,5.5,,Đông - Nam,,2,5,5,Have certificate,Full,8.5
"Đường Tô Hiến Thành, Phường 14, Quận 10, Hồ Chí Minh",31,6.2,6,Tây - Bắc,Tây - Bắc,3,4,3,Have certificate,Full,6.8
"Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",56,3.85,2.8,,,4,4,5,Have certificate,Full,8.5
"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",116.8,,,,,,3,2,Have certificate,,7.3
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên.",56,5,13,Đông - Nam,Đông - Nam,5,,,,,7.6
"Đường Mã Lò, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",64,4,6,,,5,6,6,Have certificate,Full,5.98
"Đường Bùi Tá Hán, Phường  Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",65,5.5,7,Tây - Nam,Tây - Nam,3,3,3,Have certificate,Full,4.7
"Đường Gò Dầu, Phường Tân Thành, Tân Phú, Hồ Chí Minh",50,,,,,4,4,4,,,7
"Dự án Tấn Đức Central Park, Đường 47, Phường Đồng Tiến, Phổ Yên, Thái Nguyên.",100,5,,,,,,,,,2.15
"Đường Cầu Giấy, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",70,6.6,,,,,,,,,9.6
"Five Star Kim Giang, Đường Kim Giang, Phường Kim Giang, Thanh Xuân, Hà Nội",55,5,3,,,5,4,5,Have certificate,Full,6.8
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",37,4,,,,6,3,3,Have certificate,Full,5.6
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",45,3.5,2,Đông - Nam,Đông - Bắc,4,4,3,Have certificate,Basic,4.95
"Đường Cổ Linh, Phường Thạch Bàn, Long Biên, Hà Nội",30,6,2,Đông,Đông,6,3,4,Have certificate,Basic,4.6
